mt1;mt2;fin;lab;hw;Att.
74;36;38;76;53;94
49;53;46;86;92;100
9;2;0;71;0;40
70;34;47;64;3;58
63;26;39;71;87;94
34;52;51;82;20;80
68;57;60;93;87;92
83;25;51;91;17;0
48;17;26;89;86;100
69;42;40;72;42;94
82;71;39;88;39;0
69;58;72;96;75;78
59;34;16;92;75;61
49;51;51;77;3;56
93;81;71;85;94;0
48;32;44;74;80;97
75;65;74;79;69;94
32;17;25;79;3;14
68;61;57;89;88;96
58;21;1;81;25;79
83;59;50;93;38;56
72;79;73;96;73;92
84;78;52;85;47;0
55;42;42;84;78;92
74;64;78;87;90;92
67;35;56;91;55;88
53;52;59;80;84;100
27;21;29;82;38;83
71;44;0;50;0;90
61;35;65;82;87;100
46;42;50;90;0;0
81;26;45;78;65;72
67;62;40;95;0;80
35;28;2;69;1;54
58;32;44;91;86;60
54;33;29;77;11;68
60;50;60;86;79;92
60;38;28;81;46;68
74;33;44;86;84;76
61;40;41;84;88;40
91;63;57;90;75;72
100;56;75;81;84;68
55;0;0;90;51;70
73;57;47;90;94;96
55;19;0;92;19;20
58;52;38;79;42;88
67;47;58;80;46;90
95;41;60;81;93;86
49;20;51;80;59;40
81;59;53;86;59;52
73;18;43;77;48;65
70;55;68;85;60;97
24;22;8;80;14;36
50;68;57;87;94;83
7;7;1;83;11;65
73;39;46;87;29;20
49;33;39;76;25;76
57;24;40;88;87;100
48;50;64;89;92;54
60;37;69;86;35;65
47;68;45;88;50;48
71;60;65;91;76;92
20;31;40;83;61;32
63;67;42;91;87;84
9;6;0;45;0;40
58;72;66;91;89;84
70;46;48;71;71;92
72;50;48;90;32;44
56;33;37;84;46;84
32;50;34;86;0;32
63;44;54;82;76;72
63;58;53;91;86;88
67;27;61;94;77;64
73;80;85;86;41;76
51;78;45;85;0;64
41;44;33;90;98;84
40;59;46;92;13;42
60;20;38;73;30;40
41;13;3;78;47;72
36;35;7;68;89;0
47;28;43;88;0;100
57;36;42;89;64;82
40;18;26;78;52;60
30;24;29;92;75;83
97;65;63;88;59;0
68;73;80;84;73;100
45;56;51;75;26;83
78;53;66;78;93;100
52;49;57;87;75;84
63;23;36;82;0;76
94;57;33;90;91;61
36;14;6;77;70;86
7;15;9;69;65;72
65;70;64;95;92;80
60;23;44;77;73;97
43;28;21;74;42;54
53;40;51;84;84;96
20;23;22;77;4;64
76;49;41;92;64;44
51;44;67;86;86;80
